VEÍCULO;DATA;MOTORISTA IDENTIFICADO?;MATRÍCULA MOTORISTA;CULPADO?;LANÇADO NO GLOBUS?;MÊS DE LANÇAMENTO;GERENTE;DESCRIÇÃO DE AVARIA;TIPO DE AVARIA;CAUSA DE AVARIA;AÇÃO TOMADA;HORÁRIO;VALOR DA AVARIA;VALOR COBRADO
6045;31/12/2022;SIM;24723;SIM;SIM;JANEIRO;ROMULO;FRONTAL;;;;X;97,5;97,5
6261;30/12/2022;SIM;23714;SIM;SIM;JANEIRO;ROMULO;FRONTAL;;;;X;880;880
6136;28/12/2022;SIM;FREE;NÃO;NÃO;X;ROMULO;TRASEIRO;;;;X;152,5;0
6147;26/12/2022;SIM;25911;SIM;SIM;DEZEMBRO;MARCIO;OUTRO;;;;X;500;500
6194;24/12/2022;SIM;25893;SIM;SIM;JANEIRO;RINALDO;FRONTAL;;;;X;115;115
6039;23/12/2022;SIM;26058;SIM;SIM;JANEIRO;VASSIL;LATERAL;;;;19:00;240;240
6168;23/12/2022;X;X;X;NÃO;X;X;FRONTAL;;;;X;115;0
6144;23/12/2022;SIM;26008;SIM;SIM;JANEIRO;ROMULO;FRONTAL/LATERAL;;;;X;190;190
6189;22/12/2022;SIM;25925;SIM;SIM;JANEIRO;LUIZ;LATERAL;;;;18:00;1354;1354
6016;21/12/2022;SIM;24863;NÃO;NÃO;X;MARCIO;LATERAL;;;;X;792,5;0
6065;20/12/2022;X;X;X;NÃO;X;X;FRONTAL;;;;X;255;0
6069;19/12/2022;SIM;FREE - 129;NÃO;NÃO;X;VASSIL;FRONTAL;;;;03:37;3240,58;0
6049;19/12/2022;SIM;25872;SIM;SIM;DEZEMBRO;VASSIL;FRONTAL;;;;06:00;197,5;197,5
6048;16/12/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6129;16/12/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6026;14/12/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6076;13/12/2022;SIM;26024;NÃO;NÃO;X;MARCIO;LATERAL;;;;14:40;540;0
6015;13/12/2022;SIM;24723;SIM;SIM;DEZEMBRO;ROMULO;TRASEIRO;;;;X;900,61;900,61
6168;13/12/2022;SIM;25962;SIM;SIM;DEZEMBRO;ROMULO;FRONTAL/LATERAL;;;;04:45;7978,02;7000
6157;11/12/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6147;08/12/2022;SIM;25346;SIM;NÃO;DEZEMBRO;SEVERINO;LATERAL;;;;12:05;688;688
6095;08/12/2022;SIM;26094;NÃO;NÃO;X;ROMULO;LATERAL;;;;19:29;648;0
6079;05/12/2022;SIM;26059;SIM;SIM;DEZEMBRO;VASSIL;FRONTAL;;;;20:30;100;100
6023;05/12/2022;SIM;25689;SIM;SIM;DEZEMBRO;ROMULO;FRONTAL;;;;X;115;115
6135;02/12/2022;SIM;25696;SIM;SIM;DEZEMBRO;MARCIO;TRASEIRO;;;;X;115;115
6124;28/11/2022;X;X;X;NÃO;X;X;FRONTAL/LATERAL;;;;X;352,54;0
6094;28/11/2022;SIM;25999;SIM;SIM;DEZEMBRO;MARCIO;FRONTAL/LATERAL;;;;20:15;5247;5247
6065;27/11/2022;SIM;21982;SIM;SIM;DEZEMBRO;ROMULO;LATERAL;;;;X;145;145
6019;25/11/2022;X;X;X;NÃO;X;X;PNEU;;;;X;2705;0
6117;25/11/2022;SIM;25928;SIM;SIM;DEZEMBRO;MARCIO;FRONTAL;;;;X;147,5;147,5
6189;20/11/2022;SIM;25716;SIM;SIM;DEZEMBRO;LUIZ;FRONTAL;;;;18:00;110;110
6189;16/11/2022;SIM;26067;SIM;SIM;NOVEMBRO;VASSIL;TRASEIRO;;;;06:00;180;180
6069;15/11/2022;SIM;26058;SIM;SIM;NOVEMBRO;VASSIL;TRASEIRO;;;;06:00;145;145
6029;14/11/2022;SIM;26067;SIM;SIM;NOVEMBRO;VASSIL;FRONTAL;;;;01:30;180;180
6017;14/11/2022;SIM;25578;NÃO;NÃO;X;LUIZ;FRONTAL;;;;03:40;2589,98;2589,98
6062;14/11/2022;X;X;X;NÃO;X;X;TRASEIRO;;;;X;980,6;0
6229;14/11/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6029;11/11/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6228;10/11/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6146;09/11/2022;SIM;25997;SIM;SIM;NOVEMBRO;ROMULO;FRONTAL;;;;X;3420;3420
6126;08/11/2022;SIM;26017;SIM;SIM;NOVEMBRO;ROMULO;FRONTAL/LATERAL;;;;X;4558;4558
6138;07/11/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6168;06/11/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6125;01/11/2022;SIM;25955;SIM;SIM;DEZEMBRO;ROMULO;FRONTAL;;;;X;1818,74;1818,74
6146;30/10/2022;SIM;25929;SIM;SIM;NOVEMBRO;RINALDO;TRASEIRO;;;;X;2740;2740
6189;26/10/2022;X;X;X;NÃO;X;X;TRASEIRO;;;;X;115;0
6019;26/10/2022;SIM;25096;SIM;SIM;NOVEMBRO;VASSIL;FRONTAL;;;;X;125;125
6075;25/10/2022;SIM;25955;SIM;SIM;NOVEMBRO;ROMULO;LATERAL;;;;X;110;110
6154;24/10/2022;SIM;FREE - 101;NÃO;NÃO;X;ROMULO;FRONTAL/LATERAL;;;;X;3084,98;0
6099;21/10/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6136;20/10/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6156;20/10/2022;SIM;25504;SIM;SIM;OUTUBRO;LUIZ;LATERAL;;;;X;300;300
6037;19/10/2022;X;X;X;NÃO;X;X;PNEU;;;;X;906;
6017;19/10/2022;SIM;21782;SIM;SIM;OUTUBRO;ROMULO;LATERAL;;;;X;1592;1592
6069;17/10/2022;SIM;25283 / 23479;SIM;SIM;OUTUBRO;ROMULO;FRONTAL/LATERAL;;;;X;1968,43;1021,09
6086;13/10/2022;SIM;25909;SIM;SIM;OUTUBRO;MARCIO;LATERAL;;;;X;645;645
6069;13/10/2022;X;X;X;NÃO;X;X;LATERAL;;;;X;1108,4;0
6029;13/10/2022;SIM;22487;SIM;SIM;OUTUBRO;MARCIO;FRONTAL;;;;X;125;125
6184;11/10/2022;SIM;25876;SIM;SIM;OUTUBRO;ROMULO;LATERAL;;;;16:00;1325;1325
