VEÍCULO	DATA	MOTORISTA IDENTIFICADO?	MATRÍCULA MOTORISTA	MOTORISTA CULPADO?	LANÇADO NO GLOBUS?	MÊS DE LANÇAMENTO	GERENTE	TIPO DE AVARIA	HORÁRIO	VALOR DA AVARIA	VALOR COBRADO
6334	01/03/2026	SIM	26614	SIM	NÃO	X	PEDRO	RECUPERAÇÃO DO RETROVISOR L.E	X	R$ 150,00	R$ 0,00
6189	02/03/2026	SIM	26436	NÃO	X	X	JARBAS	ÚLTIMO VIDRO DA JANELA INFERIOR	X	R$ 1.356,06	R$ 0,00
6165	02/03/2026	SIM	26468	SIM	X	X	ALEX	REPARAÇÃO DE AVARIA NO PARACHOQUE DIANTEIRO L.D E GRADE FRONTAL, FAROL L.D, FAROL DE NEBLINA L.D	X	R$ 10.997,61	R$ 0,00
6105	03/03/2026	NÃO	X	X	X	X	X	REPARAÇÃO NO RETORIVSOR L.E	X	R$ 120,00	R$ 0,00
6119	05/03/2026	NÃO	X	X	X	X	X	ÚLTIMA JANELA INFERIOR L.D	X	R$ 1.220,00	R$ 0,00
3020	06/03/2026	SIM	MANOBRA	SIM	X	X	ALEX	REPARAÇÃO DE AVARIA NO RETROVISOR L.D	X	R$ 180,00	R$ 0,00
6139	06/03/2026	SIM	26094	SIM	X	X	ALEX	FAROL L.D, RECUPERAÇÃO DO PARACHOQUE DIANTEIRO,PARABRISA L.D,3°JANELA SUPERIOR L.D	X	R$ 3.779,00	R$ 0,00
6098	09/03/2026	SIM	26459	NÃO	X	X	ALEX	1°VIDRO DE JANELA L.D	X	R$ 1.304,00	R$ 0,00
6269	09/03/2026	SIM	25326	NÃO	X	X	ALEX	VIDRO SOBRE RETROVISOR L.D,RECUPERAÇÃO DO RETROVISOR	X	R$ 1.832,00	R$ 0,00
6165	10/03/2026	SIM	26025	SIM	X	X	MATEUS	RECUPERAÇÃO DO RETROVISOR L.E	X	R$ 210,00	R$ 0,00
6136	11/03/2026	NÃO	X	X	X	X	X	VIDRO CAPACETE LD	X	R$ 2.096,00	R$ 0,00
6324	12/03/2026	SIM	26753	SIM	X	X	JARBAS	RECUPERAÇÃO DO PARA-CHOQUE DIANTEIRO LE, FAROL LE	X	R$ 1.905,00	R$ 0,00
6159	17/03/2026	SIM	21982	SIM	X	X	ALEX	RETROVISOR LE,PARA-BRISA LE	X	R$ 4.125,00	R$ 0,00
6067	23/03/2026	NÃO	X	X	X	X	X	REPARAÇÃO DE AVARIA NA PORTA DA CABINA	X	R$ 195,00	R$ 0,00
6335	24/03/2026	SIM	26498	SIM	X	X	PEDRO	ULTIMA JANELA INFERIOR LD	X	R$ 1.298,59	R$ 0,00
6016	25/03/2026	NÃO	X	X	X	X	X	VIDRO CAPACETE LD	X	R$ 2.081,00	R$ 0,00
6315	26/03/2026	SIM	26068	SIM	X	X	PEDRO	ÚLTIMO VIDRO DE JANELA INFERIORR LD, REPARAÇÃO NA TAMPA DO MALEIRO	X	R$ 1.388,59	R$ 0,00
6069	26/03/2026	SIM	26865	SIM	X	X	ALEX	DOBRADIÇA MALEIRO TRASEIRO LD (02 UNIDADE)	X	R$ 1.164,76	R$ 0,00
6345	22/03/2026	NÃO	X	X	X	X	X	REPARAÇÃO DE AVARIA NA PARTE SUPERIOR DA TRASEIRA	X	R$ 155,00	R$ 0,00
