CARRO;PLACA;EMPRESA;STATUS;UF;ANO FAB;ANO MOD;MARCA;MODELO;TIPO;EIXO;QTD POLT;POT MOTOR;CHASSI;RENAVAM
187;PEA9603;VERA CRUZ;ATIVO;PE;2017;2018;VW;MARCOPOLO;TOCO;2;49;226;9532G82W5JR807367;1135271647
197;PEA9533;VERA CRUZ;COLETIVO;PE;2017;2018;VW;MARCOPOLO;TOCO;2;49;226;9532G82W8JR807301;1135270519
207;PEA9483;VERA CRUZ;COLETIVO;PE;2017;2018;VW;MARCOPOLO;TOCO;2;49;226;9532G82W9JR807307;1135269901
217;PEA9413;VERA CRUZ;COLETIVO;PE;2017;2018;VW;MARCOPOLO;TOCO;2;49;226;9532G82W2JR807309;1135269430
247;PEA9763;VERA CRUZ;COLETIVO;PE;2017;2018;VW;MARCOPOLO;TOCO;2;49;226;9532G82W4JR807389;1135274301
2212;RZM9D00;VERA CRUZ;ATIVO;PE;2021;2022;VW;BUSSCAR ELBUSS320;TOCO;2;49;226;9532G82W9NR021898;1298848030
2222;RZM0C31;VERA CRUZ;ATIVO;PE;2021;2022;VW;BUSSCAR ELBUSS320;TOCO;2;49;226;9532G82W1NR041143;1298874120
2232;RZM0B71;VERA CRUZ;ATIVO;PE;2021;2022;VW;BUSSCAR ELBUSS320;TOCO;2;49;226;9532G82W6NR024418;1298873425
2242;RZM9D50;VERA CRUZ;ATIVO;PE;2021;2022;VW;BUSSCAR ELBUSS320;TOCO;2;49;226;9532G82W5NR040724;1298848382
2252;RZL2A87;VERA CRUZ;ATIVO;PE;2021;2022;VW;BUSSCAR ELBUSS320;TOCO;2;49;226;9532G82W8NR024226;1297835740
2262;RZM9C80;VERA CRUZ;ATIVO;PE;2021;2022;VW;BUSSCAR ELBUSS320;TOCO;2;49;226;9532G82W9NR021867;1298847688
2272;RZM9C40;VERA CRUZ;ATIVO;PE;2021;2022;VW;BUSSCAR ELBUSS320;TOCO;2;49;226;9532G82W4NR040424;1298847190
2319;QYA0552;VERA CRUZ;ATIVO;PE;2018;2019;VW;VW/MASCA ROMA;TOCO;2;49;226;9532G82W1KR908116;1203452125
2329;QYA0692;VERA CRUZ;ATIVO;PE;2018;2019;VW;MASCARELO;TOCO;2;47;226;9532G82W5KR908040;1203625429
2339;QYA0772;VERA CRUZ;ATIVO;PE;2018;2019;VW;MASCARELO;TOCO;2;47;226;9532G82W2KR914555;1203455353
2349;QYA6252;VERA CRUZ;ATIVO;PE;2018;2019;VW;MASCARELO;TOCO;2;47;226;9532G82W1KR908018;1203629335
6014;OZO1347;PROGRESSO;ATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;57;440;9BSK8X200E3862741;1020696700
6015;PJO8I86;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880747;1067093041
6016;PKA6133;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884399;1094091836
6017;PKO5D63;PROGRESSO;ATIVO;PE;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3902307;1124252220
6018;PLH8289;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO LD;LD;3;48;360;9BSK6X200J3932526;1168658265
6019;PLX6H78;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954671;1205910546
6023;OUG5356;PROGRESSO;ATIVO;BA;2013;2013;SCANIA;MARCOPOLO PARADISO DD;DD - LEITO;4;40;440;9BSK8X200D3822809;537664084
6024;OZO3222;PROGRESSO;ATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;57;440;9BSK8X200E3863260;1021077833
6025;PJO8494;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880779;1067092339
6026;PKA1799;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884391;1094176475
6027;PKO7554;COMODATO CRUZEIRO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3902315;1124181412
6028;PLH8265;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO LD;LD;3;48;360;9BSK6X200J3932540;1168643535
6029;PLX2F99;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954725;1205911755
6033;RPO8H31;PROGRESSO;ATIVO;PE;2022;2023;SCANIA;COMIL CAMPIONE DD;DD - CAMA;3;36;400;9BSK6X200P4027311;1333669248
