VEICULO;RETIDO DESDE;KM ATUAL;DESCRIÇÃO DE SERVIÇOS;STATUS;LOCAL;PREV. LIB.
6104;22/03/2024;1819837;MOTOR / PRESSÃO DE OLEO BAIXA;"EM SERVIÇO "" EM DESMONTAGEM """;MATRIZ;02/05/2026
6064;15/07/2024;1959016;MOTOR / PRESSÃO DE OLEO BAIXA;RECUPERANDO BLOCO;MATRIZ;25/05/2026
6065;23/08/2024;1566543;MOTOR / PRESSÃO DE OLEO BAIXA;AINDA SERÁ RETIRADO;MATRIZ;30/05/2026
6115;03/12/2024;1708739;MOTOR / PRESSÃO DE OLEO BAIXA;AINDA SERÁ RETIRADO;MATRIZ;23/05/2026
6055;24/01/2025;1684169;MOTOR / BLOCO DO MOTOR;AINDA SERÁ RETIRADO;MATRIZ;15/05/2026
6049;22/12/2025;1448624;"LANTERNAGEM ""AVARIA FRONTAL "" / COLISÃO FRONTAL / ACABAMENTO INTERNO DA PORTA / DOBRADIÇA DA CABINE / PARABRISA L.E";"""AGUARDANDO MATERIAL""";MATRIZ;04/04/2026
6198;26/12/2025;1434256;BLOCO DO MOTOR ESTOURADO;"""AGUARDANDO MATERIAL""";MATRIZ;15/04/2026
6106;13/01/2026;1512937;BLOCO DO MOTOR TRINCADO;"""AGUARDANDO MATERIAL""";MATRIZ;31/03/2026
6034;16/01/2026;1254353;PRESSÃO DE OLEO BAIXA;"EM SERVIÇO "" EM DESMONTAGEM """;MATRIZ;10/04/2026
2232;09/03/2026;444995;BUCHA DO EIXO S;EM SERVIÇO;MATRIZ;30/03/2026
2272;09/03/2026;411790;CAIXA DE MARCHA / EMBREAGEM / REVISÃO GERAL;"""AGUARDANDO MATERIAL""";MATRIZ;31/03/2026
6155;10/03/2026;1885817;MOTOR TRAVADO;EM ANALÍSE;MATRIZ;05/04/2026
2242;11/03/2026;384852;CAIXA DE MARCHA / TANQUE LÍQUIDO;"""AGUARDANDO MATERIAL""";VERA CRUZ;09/04/2026
6059;13/03/2026;1353681;CAIXA DE MARCHA / LIMPEZA DOS 04 TANQUES DE COMBUSTÍVEL / UNIDADES INJETORAS / SISTEMA DO ARLA;"""AGUARDANDO MATERIAL""";MATRIZ;06/04/2026
6086;20/03/2026;1625146;MECÂNISMO DA PORTA DE EMBARQUE;"""AGUARDANDO MATERIAL""";MATRIZ;27/03/2026
6039;23/03/2026;1461609;KIT DE EMBREAGEM;MATERIAL ENVIADO PARA FILIAL;SALGUEIRO;27/03/2026
6133;23/03/2026;439839;REVISÃO PREVENTIVA PESADA;EM SERVIÇO;MATRIZ;27/03/2026
3020;23/03/2026;100252;AMORTECEDOR;"""AGUARDANDO MATERIAL""";MATRIZ;27/03/2026
6324;23/03/2026;584045;VAZAMENTO DE ÓLEO DO MOTOR;EM ANALÍSE;SÃO LUÍS;27/03/2026
6325;23/03/2026;226233;"COORDENADOR ""GARANTIA """;"EM SERVIÇO "" GARANTIA """;MOVESA;27/03/2026
6017;24/03/2026;1831590;MOTOR DO EVAPORADOR;"""AGUARDANDO MATERIAL""";MATRIZ;27/03/2026
