Imei,Partida Prevista,Partida,Chegada,Serviço,Viagem Valida?,Atraso >30min,Venda Passagem,Cancel. Passagem,Embarque,NoShow,Inicio/Fim Viagem,Jornada Motorista,Detector Parada,Vel. Tempo Localização,Vel. Temp. Loc. Mínima
,09/11/2025 04:30,09/11/2025 04:30,09/11/2025 09:39,10301125,Não,Não,0,2,0,0,N/A,N/A,2,15,82
,09/11/2025 10:00,09/11/2025 10:02,09/11/2025 15:57,10301695,Sim,Não,10,1,10,0,N/A,N/A,9,118,95
,09/11/2025 08:00,09/11/2025 08:03,09/11/2025 13:55,10301145,Sim,Não,7,0,6,1,N/A,N/A,4,116,94
,09/11/2025 14:00,09/11/2025 14:01,09/11/2025 20:47,10201810,Não,Não,67,2,61,5,2,N/A,7,40,108
,09/11/2025 14:00,09/11/2025 14:01,09/11/2025 20:47,10301810,Não,Não,12,1,12,1,N/A,N/A,7,40,108
,09/11/2025 02:30,09/11/2025 02:32,09/11/2025 07:41,10301705,Sim,Não,0,4,0,4,N/A,N/A,7,102,82
,09/11/2025 10:00,09/11/2025 10:09,09/11/2025 15:59,10301690,Não,Não,4,11,2,13,N/A,N/A,2,53,93
,09/11/2025 04:30,09/11/2025 05:08,09/11/2025 09:06,10201820,Sim,Não,7,6,6,5,2,N/A,N/A,79,63
,09/11/2025 12:00,09/11/2025 11:33,10/11/2025 03:32,10301685,Não,Não,11,0,10,0,N/A,N/A,5,142,256
,09/11/2025 04:30,09/11/2025 04:30,09/11/2025 09:39,10201125,Não,Não,14,1,5,0,2,N/A,2,15,82
,09/11/2025 06:00,09/11/2025 06:00,09/11/2025 11:47,10301700,Sim,Não,10,1,10,1,N/A,N/A,3,115,92
,09/11/2025 12:00,09/11/2025 11:33,10/11/2025 03:32,10201155,Não,Não,48,3,31,4,2,N/A,5,142,256
,09/11/2025 02:30,09/11/2025 02:32,09/11/2025 07:41,10201705,Sim,Não,21,2,11,12,2,N/A,7,102,82
,09/11/2025 08:00,09/11/2025 08:23,09/11/2025 13:15,10301680,Sim,Não,9,0,0,9,N/A,N/A,1,97,78
,09/11/2025 14:00,09/11/2025 14:38,09/11/2025 20:53,10301715,Sim,Não,11,0,11,0,N/A,N/A,3,122,100
,09/11/2025 02:30,09/11/2025 02:28,09/11/2025 07:47,10201110,Sim,Não,9,6,9,6,2,N/A,3,105,85
,09/11/2025 06:00,09/11/2025 06:00,09/11/2025 11:47,10201700,Sim,Não,35,0,29,3,2,N/A,3,115,92
,09/11/2025 14:00,09/11/2025 14:38,09/11/2025 20:53,10201165,Sim,Não,54,7,46,11,2,N/A,3,123,100
,09/11/2025 12:00,09/11/2025 12:27,09/11/2025 17:31,10301140,Não,Não,6,6,6,6,N/A,N/A,2,53,81
,09/11/2025 10:00,09/11/2025 10:02,09/11/2025 15:57,10201675,Sim,Não,48,1,47,6,2,N/A,9,118,95
,09/11/2025 10:00,09/11/2025 10:09,09/11/2025 15:59,10201130,Não,Não,31,17,23,14,2,N/A,2,53,93
,09/11/2025 08:00,09/11/2025 08:23,09/11/2025 13:15,10201680,Sim,Não,41,3,7,35,2,N/A,1,97,78
,09/11/2025 04:30,09/11/2025 05:08,09/11/2025 09:06,10301820,Sim,Não,9,0,9,0,N/A,N/A,N/A,79,63
,09/11/2025 06:00,09/11/2025 06:24,09/11/2025 12:14,10201135,Não,Não,40,2,38,3,2,N/A,3,22,93
,09/11/2025 08:00,09/11/2025 08:03,09/11/2025 13:55,10201145,Sim,Não,44,0,33,12,2,N/A,4,116,94
,09/11/2025 06:00,09/11/2025 06:24,09/11/2025 12:14,10301135,Não,Não,5,2,5,2,N/A,N/A,3,22,93
,09/11/2025 02:30,09/11/2025 02:28,09/11/2025 07:47,10301110,Sim,Não,0,0,0,0,N/A,N/A,3,105,85
,09/11/2025 12:00,09/11/2025 12:27,09/11/2025 17:31,10201140,Não,Não,39,11,32,16,2,N/A,2,53,81
