CÓDIGO;DESCRIÇÃO;VALOR
101;REALIZAR TRANSPORTE DE PASSAGEIROS, SEM A EMISSÃO DE BILHETE;R$ 2.923,08
102;EMITIR BILHETE SEM OBSERVÂNCIA DAS ESPECIFICAÇÕES;R$ 2.923,08
103;RETER VIA DE BILHETE DESTINADA AO PASSAGEIRO;R$ 2.923,08
104;VENDER BILHETE DE PASSAGEM POR INTERMÉDIO DE PESSOA DIVERSA DA TRANSPORTADORA OU DO AGENTE CREDENCIADO, OU EM LOCAL NÃO PERMITIDO;R$ 2.923,08
105;NÃO OBSERVAR O PRAZO MÍNIMO ESTABELECIDO PARA INÍCIO DA VENDA DE BILHETE DE PASSAGEM;R$ 2.923,08
106;NÃO DEVOLVER A IMPORTÂNCIA PAGA PELO USUÁRIO OU NÃO REVALIDAR O BILHETE DE PASSAGEM PARA OUTRO DIA E HORÁRIO;R$ 2.923,08
107;NÃO FORNECER, NOS PRAZOS ESTABELECIDOS, OS DADOS ESTATÍSTICOS E CONTÁBEIS, CONFORME DISPOSTO NA RESOLUÇÃO ANTT Nº 3.524/2010;R$ 2.923,08
108;NÃO PORTAR NO VEÍCULO FORMULÁRIO PARA REGISTRO DE RECLAMAÇÕES DE DANOS OU EXTRAVIO DE BAGAGENS;R$ 2.923,08
109;TRANSPORTAR PASSAGEIRO EM NÚMERO SUPERIOR À LOTAÇÃO AUTORIZADA PARA O VEÍCULO, SALVO EM CASO DE SOCORRO;R$ 2.923,08
111;TRAFEGAR COM VEÍCULO EM SERVIÇO, APRESENTANDO DEFEITO EM EQUIPAMENTO OU ITEM OBRIGATÓRIO;R$ 2.923,08
112;TRAFEGAR COM VEÍCULO EM SERVIÇO, SEM DOCUMENTO DE PORTE OBRIGATÓRIO NÃO PREVISTO EM INFRAÇÃO ESPECÍFICA, NO ORIGINAL OU CÓPIA AUTENTICADA;R$ 2.923,08
113;"EMITIR ""BILHETE DE EMBARQUE GRATUIDADE"", SEM OBSERVÂNCIA DAS ESPECIFICAÇÕES";R$ 2.923,08
114;EMITIR BILHETE DE PASSAGEM COM O DESCONTO PREVISTO EM LEGISLAÇÃO ESPECÍFICA, SEM OBSERVÂNCIA DAS ESPECIFICAÇÕES;R$ 2.923,08
115;NÃO FORNECER OS DADOS ESTATÍSTICOS DE MOVIMENTAÇÃO DE USUÁRIOS NA FORMA E PRAZOS PREVISTOS NA LEGISLAÇÃO ESPECÍFICA;R$ 2.923,08
116;NÃO AFIXAR, EM LOCAL VISÍVEL, RELAÇÃO DOS NÚMEROS DE TELEFONE OU OUTRAS FORMAS DE CONTATO COM O ÓRGÃO FISCALIZADOR;R$ 2.923,08
117;NÃO DIVULGAR INFORMAÇÕES OU FORNECER FORMULÁRIOS A QUE ESTEJA OBRIGADO, AOS USUÁRIOS;R$ 2.923,08
118;DEIXAR DE CUMPRIR QUALQUER DETERMINAÇÃO ESTIPULADA NO MANUAL DE CONTABILIDADE DA ANTT;R$ 2.923,08
119;NÃO GARANTIR A OPÇÃO DE CONTATO COM O ATENDENTE NO PRIMEIRO MENU TELEFÔNICO E EM TODAS AS SUBDIVISÕES DO MENU DO SAC;R$ 2.923,08
120;NÃO DIVULGAR O NÚMERO DO SAC DE FORMA CLARA E OBJETIVA AOS USUÁRIOS;R$ 2.923,08
121;NÃO GARANTIR A QUALIDADE DO ATENDIMENTO, CONFORME DEFINIDO EM REGULAMENTO;R$ 2.923,08
122;NÃO GARANTIR AO USUÁRIO O ACOMPANHAMENTO DAS DEMANDAS DO SAC POR MEIO DO REGISTRO NUMÉRICO;R$ 2.923,08
123;NÃO MANTER O REGISTRO ELETRÔNICO DO ATENDIMENTO À DISPOSIÇÃO DO USUÁRIO E DO ÓRGÃO FISCALIZADOR NO PRAZO REGULAMENTAR;R$ 2.923,08
124;NÃO DISPONIBILIZAR AO USUÁRIO A GRAVAÇÃO DAS LIGAÇÕES EFETUADAS AO SAC NO PRAZO REGULAMENTAR;R$ 2.923,08
125;NÃO PRESTAR AS INFORMAÇÕES SOLICITADAS PELO USUÁRIO IMEDIATAMENTE E NÃO RESOLVER AS RECLAMAÇÕES FEITAS PELO SAC NO PRAZO REGULAMENTAR;R$ 2.923,08
126;NÃO GARANTIR AO USUÁRIO ACESSO AO CONTEÚDO DO HISTÓRICO DE SUAS DEMANDAS NO SAC NO PRAZO REGULAMENTAR;R$ 2.923,08
127;NÃO GARANTIR ÀS PESSOAS COM DEFICIÊNCIA AUDITIVA OU DE FALA O ACESSO AO SAC EM CARÁTER PREFERENCIAL;R$ 2.923,08
201;NÃO ATENDER À SOLICITAÇÃO DA ANTT PARA APRESENTAÇÃO DE DOCUMENTOS E INFORMAÇÕES NO PRAZO ESTABELECIDO;R$ 5.846,16
202;RETARDAR, INJUSTIFICADAMENTE, A PRESTAÇÃO DE TRANSPORTE PARA OS PASSAGEIROS;R$ 5.846,16
203;NÃO OBSERVAR OS PROCEDIMENTOS RELATIVOS AO PESSOAL DA TRANSPORTADORA;R$ 5.846,16
204;NÃO FORNECER COMPROVANTE DO DESPACHO DA BAGAGEM DE PASSAGEIRO;R$ 5.846,16
205;EMPREENDER VIAGEM COM VEÍCULO EM CONDIÇÕES INADEQUADAS DE HIGIENE E/OU DEIXAR DE HIGIENIZAR AS INSTALAÇÕES SANITÁRIAS, QUANDO DO INÍCIO DA VIAGEM E NAS SAÍDAS DE PONTOS DE PARADA OU DE APOIO;R$ 5.846,16
206;NÃO ADOTAR AS MEDIDAS DETERMINADAS PELA ANTT OU ÓRGÃO CONVENIADO, OBJETIVANDO A IDENTIFICAÇÃO DOS PASSAGEIROS NO EMBARQUE E O ARQUIVAMENTO DOS DOCUMENTOS PERTINENTES;R$ 5.846,16
207;UTILIZAR PESSOAS OU PREPOSTOS, NOS PONTOS TERMINAIS, PONTOS DE SEÇÃO E DE PARADA, COM A FINALIDADE DE ANGARIAR PASSAGEIROS;R$ 5.846,16
208;VENDER MAIS DE UM BILHETE DE PASSAGEM PARA UMA MESMA POLTRONA, NA MESMA VIAGEM;R$ 5.846,16
209;TRAFEGAR COM VEÍCULO EM SERVIÇO, SEM EQUIPAMENTO OU ITEM OBRIGATÓRIO;R$ 5.846,16
210;DIVULGAR INFORMAÇÕES QUE POSSAM INDUZIR O PÚBLICO EM ERRO SOBRE AS CARACTERÍSTICAS DOS SERVIÇOS A SEU CARGO;R$ 5.846,16
211;ATRASAR O PAGAMENTO DO VALOR DA INDENIZAÇÃO POR DANO OU EXTRAVIO DA BAGAGEM;R$ 5.846,16
212;TRANSPORTAR BAGAGEM FORA DOS LOCAIS PRÓPRIOS OU EM CONDIÇÕES DIFERENTES DAS ESTABELECIDAS PARA TAL FIM;R$ 5.846,16
213;NÃO OBSERVAR A SISTEMÁTICA DE CONTROLE TÉCNICO-OPERACIONAL ESTABELECIDA PARA O TRANSPORTE DE ENCOMENDA;R$ 5.846,16
214;TRANSPORTAR ENCOMENDAS OU MERCADORIAS QUE NÃO SEJAM DE PROPRIEDADE OU NÃO ESTEJAM SOB A RESPONSABILIDADE DE PASSAGEIROS, QUANDO DA PRESTAÇÃO DE SERVIÇO DE TRANSPORTE SOB O REGIME DE FRETAMENTO;R$ 5.846,16
215;APRESENTAR DADOS ESTATÍSTICOS E CONTÁBEIS DE MANEIRA INCOMPLETA;R$ 5.846,16
216;NÃO OBSERVAR O PRAZO ESTABELECIDO EM RESOLUÇÃO DA ANTT PARA ARQUIVAMENTO DOS BILHETES DE PASSAGEM E OS BILHETES DE EMBARQUE;R$ 5.846,16
217;NÃO OBSERVAR OS CRITÉRIOS PARA INFORMAÇÃO AOS USUÁRIOS DOS PROCEDIMENTOS DE SEGURANÇA;R$ 5.846,16
218;NÃO EMITIR DOCUMENTO AO BENEFICIÁRIO, INDICANDO A DATA, A HORA, O LOCAL E O MOTIVO DA RECUSA EM CONCEDER AS GRATUIDADES E DESCONTOS ESTABELECIDOS NA LEGISLAÇÃO ESPECÍFICA;R$ 5.846,16
219;NÃO GARANTIR AO USUÁRIO CONTATO DIRETO COM O ATENDENTE DO SAC NO TEMPO MÁXIMO EXIGIDO EM REGULAMENTO OU EXIGIR DADOS DO USUÁRIO COMO CONDIÇÃO PARA TER ACESSO AO ATENDENTE;R$ 5.846,16
220;NÃO RECEBER E PROCESSAR IMEDIATAMENTE O PEDIDO DE CANCELAMENTO DO CONTRATO DO SERVIÇO FEITO NO SAC;R$ 5.846,16
221;FINALIZAR A LIGAÇÃO PELO SAC ANTES DA CONCLUSÃO DO ATENDIMENTO;R$ 5.846,16
301;NÃO COMUNICAR A OCORRÊNCIA DE ASSALTO OU ACIDENTE, NA FORMA E PRAZOS ESTABELECIDOS NA LEGISLAÇÃO;R$ 8.769,24
302;EXECUTAR SERVIÇO COM VEÍCULO CUJAS CARACTERÍSTICAS NÃO CORRESPONDAM À TARIFA COBRADA;R$ 8.769,24
303;EXECUTAR SERVIÇO COM VEÍCULO DE CARACTERÍSTICAS E ESPECIFICAÇÕES TÉCNICAS DIFERENTES DAS ESTABELECIDAS, QUANDO DA DELEGAÇÃO;R$ 8.769,24
304;ALTERAR, SEM PRÉVIA COMUNICAÇÃO À ANTT, O ESQUEMA OPERACIONAL DA LINHA;R$ 8.769,24
305;COBRAR, A QUALQUER TÍTULO, IMPORTÂNCIA NÃO PREVISTA OU NÃO PERMITIDA NAS NORMAS LEGAIS OU REGULAMENTOS APLICÁVEIS;R$ 8.769,24
306;NÃO PROVIDENCIAR, NO CASO DE ATRASO DE VIAGEM OU PRETERIÇÃO DE EMBARQUE, O TRANSPORTE DO PASSAGEIRO DE ACORDO COM AS ESPECIFICAÇÕES CONSTANTES DO BILHETE DE PASSAGEM;R$ 8.769,24
308;SUPRIMIR VIAGEM A QUE ESTEJA OBRIGADO, SEM PRÉVIA COMUNICAÇÃO A ANTT;R$ 8.769,24
309;NÃO COMUNICAR A INTERRUPÇÃO DO SERVIÇO PELA IMPRATICABILIDADE TEMPORÁRIA DO ITINERÁRIO, NA FORMA E PRAZO DETERMINADOS;R$ 8.769,24
310;TRANSPORTAR PESSOA FORA DO LOCAL APROPRIADO PARA ESTE FIM;R$ 8.769,24
311;RECUSAR O EMBARQUE OU DESEMBARQUE DE PASSAGEIROS, NOS PONTOS APROVADOS, SEM MOTIVO JUSTIFICADO;R$ 8.769,24
312;NÃO DAR PRIORIDADE AO TRANSPORTE DE BAGAGENS DOS PASSAGEIROS;R$ 8.769,24
