DATA DA INFRAÇÃO;VEÍCULO;ORGÃO ATUADOR;DESCRIÇÃO DA MULTA;NÚMERO DO AUTO DE INFRAÇÃO;VALOR COBRADO;VALOR RECUPERADO;MOTORISTA INDENTIFICADO?;MATRÍCULA DO MOTORISTA;GESTOR;ENVIADO PARA O GERENTE?;GERENTE DEVOLVEU O VALE?;LANÇADO NO GLOBUS?;OBSERVAÇÃO
22/09/2025;6019;PREF. DE PE PETROLINA;DEIXAR O CONDUTOR DE USAR O CINTO SEGURANCA;E000172879;195,23;0;SIM;26525;JARBAS;SIM;NÃO;NÃO;
03/11/2025;6019;PREF. DE AL MACEIO;DIRIGIR VEICULO MANUSEANDO TELEFONE CELULAR;G926401628;293,47;0;SIM;26179;JARBAS;SIM;NÃO;NÃO;
21/11/2025;6025;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;S047900249;130,16;0;SIM;26052;ROMILDO;SIM;NÃO;NÃO;
13/06/2025;6026;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;S045698548;195,23;0;SIM;26761;ROMILDO;SIM;NÃO;NÃO;
17/11/2025;6036;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;S047851440;130,16;0;SIM;25890;ROMILDO;SIM;NÃO;NÃO;
17/10/2025;6038;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;S047427266;130,16;0;SIM;26318;MÁRIO;SIM;NÃO;NÃO;
18/07/2025;6045;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;S046316759;195,23;0;SIM;26653;MÁRIO;SIM;NÃO;NÃO;
09/02/2026;6294;PREF DE PETROLINA;DEIXAR O CONDUTOR DE USAR O CINTO SEGURANCA;E000188441;195,23;195,23;SIM;26357;JARBAS;SIM;SIM;SIM;
01/09/2025;6095;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;S047234130;130,16;0;SIM;26622;ROMILDO;SIM;NÃO;NÃO;DESLIGADO
01/09/2025;6103;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;D1005655553;130,16;130,16;SIM;25700;ITAMAR;SIM;NÃO;NÃO;
16/09/2025;6135;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;S046981931;130,16;130,16;SIM;25890;ROMILDO;SIM;SIM;SIM;
01/09/2025;6264;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;S047518443;130,16;130,16;SIM;25608;ROMILDO;SIM;SIM;SIM;
04/10/2025;6304;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;S047247245;130,16;130,16;SIM;25890;ROMILDO;SIM;SIM;SIM;
26/08/2025;6116;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;S046633928;130,16;130,16;SIM;21982;ALEX;SIM;SIM;SIM;
24/08/2025;6116;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;N002726847;130,16;0;SIM;26249;ALEX;SIM;NÃO;NÃO;FÉRIAS
11/11/2025;6155;DNIT;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;QD00726924;104,13;104,13;SIM;26179;ITAMAR;SIM;NÃO;NÃO;
20/02/2026;2272;DER - PE;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;QD02075017;130,16;0;SIM;25165;ALEX;SIM;NÃO;NÃO;
27/11/2025;6097;PREF DE PETROLINA;DEIXAR O CONDUTOR DE USAR O CINTO SEGURANCA;E000181415;195,23;195,23;SIM;26525;ITAMAR;SIM;SIM;SIM;
