DATA;LINHA;SENTIDO;HORÁRIO DA LINHA;MATRÍCULA;VEÍCULO;LOCAL;INÍCIO;FIM;TEMPO PARADO
01/02/2026;RECIFE(PE) - AGUAS BELAS via DERBY;VOLTA;05:50:00;26905;6189;PARADA INDEVIDA CHIMARRÃO LAJEDO;08:17:00;08:47:00;00:30:00
01/02/2026;ARARIPINA(PE) - NATAL (RN);IDA;16:00:00;26856;6188;PARADA INDEVIDO CARNE E QUEIJO;11:01:00;11:14:00;00:13:00
01/02/2026;RECIFE(PE) - NATAL(RN);IDA;15:00:00;26879;6107;PARADA INDEVIDO CARNE E QUEIJO;18:16:00;18:49:00;00:33:00
02/02/2026;RECIFE(PE) - NATAL(RN);IDA;17:30:00;26879;6157;PARADA INDEVIDO CARNE E QUEIJO;21:40:00;22:11:00;00:31:00
06/02/2026;RECIFE(PE) - NATAL(RN);IDA;15:00:00;26889;6139;PARADA INDEVIDO CARNE E QUEIJO;20:29:00;20:58:00;00:29:00
07/02/2026;RECIFE(PE) - NATAL(RN);VOLTA;23:55:00;26860;6077;PARADA INDEVIDO CARNE E QUEIJO;01:27:00;01:40:00;00:13:00
09/02/2026;RECIFE(PE) - NATAL(RN);IDA;17:00:00;26879;6023;PARADA INDEVIDO CARNE E QUEIJO;17:14:00;17:37:00;00:23:00
11/02/2026;RECIFE(PE) - NATAL(RN);IDA;23:55:00;26363;6063;PARADA INDEVIDO CARNE E QUEIJO;02:45:00;03:12:00;00:27:00
12/02/2026;RECIFE(PE) - NATAL(RN);IDA;17:30:00;26523;6017;PARADA INDEVIDO CARNE E QUEIJO;21:58:00;22:56:00;00:58:00
14/02/2026;RECIFE(PE) - BOM CONSELHO;IDA;15:00:00;26905;6099;PARADA INDEVIDO RESTAURANTE ;18:40:00;19:08:00;00:28:00
08/03/2026;RECIFE(PE) - NATAL(RN);IDA;23:55:00;26363;6168;PARADA INDEVIDA CHIMARRÃO;02:42:00;03:06:00;00:24:00
