Prefixo do Veículo;Data;Operacional (KM);Ociosa (KM);Total (KM)
6038;14/02/2026;526.9;9.9;536.8
6043;11/02/2026;551.6;9.9;561.5
6053;21/02/2026;568.6;9.9;578.5
6054;01/02/2026;597.2;9.9;607.1
6228;04/02/2026;717.1;9.9;727
6294;03/02/2026;596.4;9.9;606.3
6017;16/02/2026;893.5;9.8;903.3
6039;09/02/2026;800.8;9.8;810.6
6076;18/02/2026;682.4;9.8;692.2
6107;11/02/2026;595.3;9.8;605.1
6139;26/02/2026;431.3;9.8;441.1
6149;22/02/2026;735.8;9.8;745.6
6199;02/02/2026;932.9;9.8;942.7
6245;28/02/2026;996.9;9.8;1006.7
6254;20/02/2026;934;9.8;943.8
6255;08/02/2026;582.7;9.8;592.5
6255;18/02/2026;732.5;9.8;742.3
6269;06/02/2026;498.2;9.8;508
6335;26/02/2026;921.6;9.8;931.4
6345;28/02/2026;638.7;9.8;648.5
6019;27/02/2026;417;9.7;426.7
6029;16/02/2026;584;9.7;593.7
6038;12/02/2026;750.8;9.7;760.5
6048;04/02/2026;499.1;9.7;508.8
6089;04/02/2026;1153.3;9.7;1163
6127;26/02/2026;1010.5;9.7;1020.2
6129;04/02/2026;988.1;9.7;997.8
6135;16/02/2026;896.3;9.7;906
6178;08/02/2026;518.4;9.7;528.1
6204;26/02/2026;496.7;9.7;506.4
6225;25/02/2026;620.7;9.7;630.4
6245;09/02/2026;852.8;9.7;862.5
6249;12/02/2026;677.5;9.7;687.2
6304;10/02/2026;1242.4;9.7;1252.1
6314;08/02/2026;908.4;9.7;918.1
6054;02/02/2026;497.4;9.6;507
6058;21/02/2026;564.1;9.6;573.7
6076;14/02/2026;549.8;9.6;559.4
6077;25/02/2026;431.9;9.6;441.5
6089;18/02/2026;1062.3;9.6;1071.9
6128;10/02/2026;122.6;9.6;132.2
6129;10/02/2026;622.8;9.6;632.4
6138;19/02/2026;512.5;9.6;522.1
6147;27/02/2026;410.9;9.6;420.5
6155;16/02/2026;710.9;9.6;720.5
6175;13/02/2026;919;9.6;928.6
6188;20/02/2026;902.4;9.6;912
6195;01/02/2026;941.1;9.6;950.7
6215;02/02/2026;928.7;9.6;938.3
6219;19/02/2026;680.2;9.6;689.8
6225;04/02/2026;967.6;9.6;977.2
6255;09/02/2026;1081.4;9.6;1091
6274;03/02/2026;783;9.6;792.6
6335;11/02/2026;1145.1;9.6;1154.7
6068;07/02/2026;749;9.5;758.5
6108;28/02/2026;708.4;9.5;717.9
6205;02/02/2026;980.5;9.5;990
6269;10/02/2026;499.5;9.5;509
6285;23/02/2026;978.5;9.5;988
6289;15/02/2026;417.6;9.5;427.1
6335;05/02/2026;934.4;9.5;943.9
6033;05/02/2026;647;9.4;656.4
6048;23/02/2026;802.5;9.4;811.9
6054;03/02/2026;504.9;9.4;514.3
6057;15/02/2026;945.6;9.4;955
6077;14/02/2026;1026.5;9.4;1035.9
6085;01/02/2026;597.4;9.4;606.8
6088;13/02/2026;614.7;9.4;624.1
6107;16/02/2026;852.4;9.4;861.8
6145;02/02/2026;518.8;9.4;528.2
6165;14/02/2026;720.7;9.4;730.1
6179;26/02/2026;889.8;9.4;899.2
6185;16/02/2026;894.9;9.4;904.3
6185;28/02/2026;858.9;9.4;868.3
6205;15/02/2026;900.6;9.4;910
6299;23/02/2026;628;9.4;637.4
6355;03/02/2026;886.2;9.4;895.6
6015;25/02/2026;412.7;9.3;422
6056;20/02/2026;519.8;9.3;529.1
6067;09/02/2026;328.7;9.3;338
6067;16/02/2026;908.2;9.3;917.5
6069;25/02/2026;464;9.3;473.3
6083;01/02/2026;1191.8;9.3;1201.1
6085;02/02/2026;420.6;9.3;429.9
6089;03/02/2026;566;9.3;575.3
6096;19/02/2026;428.1;9.3;437.4
6109;19/02/2026;941.3;9.3;950.6
