Matrícula	Tempo	Velocidade Média	Endereço	Data da Ocorrencia	Inicio e Fim da Ocorrencia	Nome Linha	Veículo
21883	10	81	Rodovia Pe-060 Ipojuca - Pernambuco, Brasil	06/02/2026	Início: 11:00, Fim: 11:10	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	6124
21883	5	81	Sirinhaém, Pernambuco, Brasil	06/02/2026	Início: 11:17, Fim: 11:22	RECIFE(PE) - SÃO JOSÉ DA COROA GRANDE(PE)	6124
26953	5	81	Br-101, Mirueira, Paulista - Pernambuco, 53510-000, Brasil	05/02/2026	Início: 13:35, Fim: 13:40	RECIFE(PE) - NATAL(RN)	6039
26953	12	81	Rodovia Governador Mário Covas 944, Alhandra - Paraíba, Brasil	23/02/2026	Início: 15:21, Fim: 15:33	RECIFE(PE) - NATAL(RN)	6254
26953	22	81	Rua Sem Denominacao 3 5, Santa Rita - Paraíba, 58303-000, Brasil	23/02/2026	Início: 15:46, Fim: 16:08	RECIFE(PE) - NATAL(RN)	6254
24436	5	81	Br-316, Araripina - Pernambuco, Brasil	08/02/2026	Início: 07:48, Fim: 07:53	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6057
24436	12	81	Rodovia BR-232, Salgueiro - Pernambuco, Brasil	15/02/2026	Início: 04:50, Fim: 05:02	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6069
24436	16	81	Parnamirim, Pernambuco, Brasil	15/02/2026	Início: 05:15, Fim: 05:31	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6069
24436	17	81	Icaiçara, Parnamirim, Pernambuco, Brasil	15/02/2026	Início: 05:43, Fim: 06:00	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6069
24436	12	81	Bom Nome, São José do Belmonte, Pernambuco, Brasil	20/02/2026	Início: 04:41, Fim: 04:53	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6087
24436	13	81	Estrada Da Fazenda Quixada 4, Parnamirim - Pernambuco, 56163-000, Brasil	20/02/2026	Início: 21:28, Fim: 21:41	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6087
24436	8	81	Rodovia BR-232, Terra Nova - Pernambuco, Brasil	20/02/2026	Início: 21:46, Fim: 21:54	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6087
24436	16	81	Fazenda Jatoba 810, Serra Talhada - Pernambuco, 56915-899, Brasil	21/02/2026	Início: 00:13, Fim: 00:29	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6087
24686	5	81	Avenida Leão Sampaio 5021, Mata Dos Dudas, Barbalha - Ceará, 63095-003, Brasil	17/02/2026	Início: 05:26, Fim: 05:31	MACEIÓ(AL) - CRATO(CE) - via CARUARU(PE)	6047
24723	8	81	Rodovia Br-232 12, Verdejante - Pernambuco, 56120-000, Brasil	02/02/2026	Início: 05:26, Fim: 05:34	RECIFE(PE) - BODOCÓ(PE) via Exu	6345
24723	15	81	Rodovia Br-232, Verdejante - Pernambuco, 56120-000, Brasil	02/02/2026	Início: 05:39, Fim: 05:54	RECIFE(PE) - BODOCÓ(PE) via Exu	6345
24723	28	81	Rodovia BR-232, Mirandiba - Pernambuco, Brasil	02/02/2026	Início: 21:30, Fim: 21:58	RECIFE(PE) - BODOCÓ(PE) via Exu	6345
24723	15	81	Rodovia BR-232, Verdejante - Pernambuco, Brasil	04/02/2026	Início: 05:41, Fim: 05:56	RECIFE(PE) - BODOCÓ(PE) via Exu	6245
24723	17	81	Estrada Exu Moreilandia 29, Exu - Pernambuco, 56230-000, Brasil	04/02/2026	Início: 19:05, Fim: 19:22	RECIFE(PE) - BODOCÓ(PE) via Exu	6245
24723	6	81	Pe-507, Serrita - Pernambuco, Brasil	04/02/2026	Início: 19:45, Fim: 19:51	RECIFE(PE) - BODOCÓ(PE) via Exu	6245
24723	6	81	Pe-507, Salgueiro - Pernambuco, Brasil	04/02/2026	Início: 20:23, Fim: 20:29	RECIFE(PE) - BODOCÓ(PE) via Exu	6245
24723	33	81	Rodovia Br-232, Sertânia - Pernambuco, 56600-000, Brasil	05/02/2026	Início: 00:32, Fim: 01:05	RECIFE(PE) - BODOCÓ(PE) via Exu	6245
24723	5	81	Pe-507, Salgueiro - Pernambuco, Brasil	06/02/2026	Início: 06:29, Fim: 06:34	RECIFE(PE) - BODOCÓ(PE) via Exu	6069
24723	9	81	Rodovia BR-232, Verdejante - Pernambuco, Brasil	09/02/2026	Início: 05:43, Fim: 05:52	RECIFE(PE) - BODOCÓ(PE) via Exu	6109
24723	14	81	Povoado Belem 55, Bodocó - Pernambuco, 56220-000, Brasil	18/02/2026	Início: 08:14, Fim: 08:28	RECIFE(PE) - BODOCÓ(PE) via Exu	6159
24723	11	81	Avenida Coronel Chico Romão, Serrita - Pernambuco, Brasil	20/02/2026	Início: 06:30, Fim: 06:41	RECIFE(PE) - BODOCÓ(PE) via Exu	6325
24723	6	81	Pe-507, Serrita - Pernambuco, Brasil	20/02/2026	Início: 06:46, Fim: 06:52	RECIFE(PE) - BODOCÓ(PE) via Exu	6325
24723	11	81	Br-122, Exu - Pernambuco, Brasil	20/02/2026	Início: 07:50, Fim: 08:01	RECIFE(PE) - BODOCÓ(PE) via Exu	6325
24723	11	81	Pe-507, Moreilândia - Pernambuco, Brasil	20/02/2026	Início: 19:17, Fim: 19:28	RECIFE(PE) - BODOCÓ(PE) via Exu	6325
24723	15	81	Rodovia BR-232, Serra Talhada - Pernambuco, Brasil	20/02/2026	Início: 22:26, Fim: 22:41	RECIFE(PE) - BODOCÓ(PE) via Exu	6325
24723	19	81	Rodovia BR-232, Flores - Pernambuco, Brasil	20/02/2026	Início: 22:50, Fim: 23:09	RECIFE(PE) - BODOCÓ(PE) via Exu	6325
24723	20	81	Algodões, Sertânia, Pernambuco, Brasil	21/02/2026	Início: 00:01, Fim: 00:21	RECIFE(PE) - BODOCÓ(PE) via Exu	6325
24723	16	81	Zé Gomes, Exu, Pernambuco, Brasil	23/02/2026	Início: 07:40, Fim: 07:56	RECIFE(PE) - BODOCÓ(PE) via Exu	6029
24723	15	81	Pe-507, Serrita - Pernambuco, Brasil	23/02/2026	Início: 19:25, Fim: 19:40	RECIFE(PE) - BODOCÓ(PE) via Exu	6029
24723	8	81	Avenida Coronel Chico Romão, Serrita - Pernambuco, Brasil	23/02/2026	Início: 19:50, Fim: 19:58	RECIFE(PE) - BODOCÓ(PE) via Exu	6029
24723	26	81	Rodovia BR-232, Mirandiba - Pernambuco, Brasil	23/02/2026	Início: 21:22, Fim: 21:48	RECIFE(PE) - BODOCÓ(PE) via Exu	6029
24723	8	81	Rodovia Br-232 12, Verdejante - Pernambuco, 56120-000, Brasil	25/02/2026	Início: 05:12, Fim: 05:20	RECIFE(PE) - BODOCÓ(PE) via Exu	6265
24723	13	81	Ipuera, Serrita, Pernambuco, Brasil	25/02/2026	Início: 06:24, Fim: 06:37	RECIFE(PE) - BODOCÓ(PE) via Exu	6265
24723	8	81	Br-122, Bodocó - Pernambuco, Brasil	27/02/2026	Início: 07:46, Fim: 07:54	RECIFE(PE) - BODOCÓ(PE) via Exu	6325
25964	9	81	Rodovia Luiz Gonzaga, Agamenon Magalhães, Caruaru - Pernambuco, Brasil	13/02/2026	Início: 04:56, Fim: 05:05	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6355
25964	19	81	Sitio Casa Nova Iii 3659, Gravatá - Pernambuco, 55648-000, Brasil	13/02/2026	Início: 05:58, Fim: 06:17	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6355
25964	18	81	Rodovia Luiz Gonzaga, Pombos - Pernambuco, Brasil	13/02/2026	Início: 06:20, Fim: 06:38	RECIFE(PE) - PETROLINA(PE) (OPCIONAL - EXE)	6355
25973	10	81	Rodovia Br-232, Verdejante - Pernambuco, 56120-000, Brasil	22/02/2026	Início: 04:12, Fim: 04:22	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6039
25973	18	81	Rodovia BR-232, Parnamirim - Pernambuco, Brasil	22/02/2026	Início: 05:46, Fim: 06:04	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6039
25973	8	81	Bom Nome, São José do Belmonte, Pernambuco, Brasil	22/02/2026	Início: 23:49, Fim: 23:57	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6039
25996	11	81	Bom Nome, São José do Belmonte, Pernambuco, Brasil	06/02/2026	Início: 02:43, Fim: 02:54	RECIFE(PE) - TERESINA(PI)	6057
25996	6	81	Rodovia BR-232, Terra Nova - Pernambuco, Brasil	06/02/2026	Início: 04:25, Fim: 04:31	RECIFE(PE) - TERESINA(PI)	6057
25996	10	81	Rodovia BR-232, Salgueiro - Pernambuco, Brasil	15/02/2026	Início: 21:46, Fim: 21:56	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6069
25996	16	81	Rodovia BR-232, Sertânia - Pernambuco, Brasil	16/02/2026	Início: 02:14, Fim: 02:30	RECIFE(PE) - ARARIPINA(PE) (LEITO_CAMA)	6069
26093	10	81	Pe-430, São José do Belmonte - Pernambuco, Brasil	05/02/2026	Início: 04:08, Fim: 04:18	CRATO(CE) - RECIFE(PE)	6063
26097	17	81	Rodovia Br-232, São José do Belmonte - Pernambuco, 56950-000, Brasil	03/02/2026	Início: 20:09, Fim: 20:26	RECIFE(PE) - ARARIPINA(PE) (TFD)	6228
25089	6	81	Br-104 300, Caruaru - Pernambuco, Brasil	17/02/2026	Início: 09:06, Fim: 09:12	MACEIÓ(AL) - CAMPINA GRANDE(PB)	6015
25089	8	81	Rodovia BR-104, Murici - Alagoas, Brasil	18/02/2026	Início: 07:50, Fim: 07:58	MACEIÓ(AL) - CAMPINA GRANDE(PB)	6035
25089	7	81	Estrada Riacho Do Peixe 112, Agrestina - Pernambuco, 55495-000, Brasil	18/02/2026	Início: 10:11, Fim: 10:18	MACEIÓ(AL) - CAMPINA GRANDE(PB)	6035
25608	8	81	Br-104 886, Caruaru - Pernambuco, Brasil	10/02/2026	Início: 10:04, Fim: 10:12	MACEIÓ(AL) - CAMPINA GRANDE(PB)	6015
25608	15	81	Murici, Alagoas, Brasil	23/02/2026	Início: 13:02, Fim: 13:17	MACEIÓ(AL) - CAMPINA GRANDE(PB)	6125
25887	5	81	Rodovia Luiz Gonzaga, Curado, Recife - Pernambuco, 50950, Brasil	28/02/2026	Início: 15:11, Fim: 15:16	CAMPINA GRANDE(PB) - RECIFE(PE)	6204
25890	5	81	Rodovia BR-104 282, Agrestina - Pernambuco, 55495-000, Brasil	13/02/2026	Início: 10:22, Fim: 10:27	MACEIÓ(AL) - CAMPINA GRANDE(PB)	6105
25902	12	81	Rodovia Governador Antônio Mariz, Pombal - Paraíba, 58840-000, Brasil	07/02/2026	Início: 22:12, Fim: 22:24	IGUATU(CE) - RECIFE(PE)	6225
25902	23	81	Rodovia Governador Antônio Mariz, Soledade - Paraíba, Brasil	08/02/2026	Início: 00:59, Fim: 01:22	IGUATU(CE) - RECIFE(PE)	6225
25902	28	81	Rodovia Governador Antônio Mariz, Pocinhos - Paraíba, Brasil	12/02/2026	Início: 01:38, Fim: 02:06	IGUATU(CE) - RECIFE(PE)	6255
25902	13	81	Riacho Do Padre 26, Ipaumirim - Ceará, 63340-000, Brasil	12/02/2026	Início: 08:37, Fim: 08:50	IGUATU(CE) - RECIFE(PE)	6255
25902	20	81	Icó, Ceará, Brasil	12/02/2026	Início: 08:54, Fim: 09:14	IGUATU(CE) - RECIFE(PE)	6255
25902	9	81	Transamazônica 2, Bom Jesus - Paraíba, 58900-000, Brasil	13/02/2026	Início: 19:17, Fim: 19:26	IGUATU(CE) - RECIFE(PE)	6265
25902	10	81	Acesso à rodovia, Santa Luzia - Paraíba, Brasil	14/02/2026	Início: 00:50, Fim: 01:00	IGUATU(CE) - RECIFE(PE)	6265
